Entity,Code,Year,Fertilizer use
Brazil,BRA,1961,1.75
Brazil,BRA,1962,1.57
Brazil,BRA,1963,1.91
Brazil,BRA,1964,1.54
Brazil,BRA,1965,2.1
Brazil,BRA,1966,2.09
Brazil,BRA,1967,3.07
Brazil,BRA,1968,4.11
Brazil,BRA,1969,4.61
Brazil,BRA,1970,7.7
Brazil,BRA,1971,7.44
Brazil,BRA,1972,10.67
Brazil,BRA,1973,8.73
Brazil,BRA,1974,9.49
Brazil,BRA,1975,9.62
Brazil,BRA,1976,10.98
Brazil,BRA,1977,14.43
Brazil,BRA,1978,13.58
Brazil,BRA,1979,14.19
Brazil,BRA,1980,15.61
Brazil,BRA,1981,11.32
Brazil,BRA,1982,10.72
Brazil,BRA,1983,9.33
Brazil,BRA,1984,13.14
Brazil,BRA,1985,13.28
Brazil,BRA,1986,15.94
Brazil,BRA,1987,15.89
Brazil,BRA,1988,13.81
Brazil,BRA,1989,13.9
Brazil,BRA,1990,14.11
Brazil,BRA,1991,15.05
Brazil,BRA,1992,15.6
Brazil,BRA,1993,20.62
Brazil,BRA,1994,23.76
Brazil,BRA,1995,22.75
Brazil,BRA,1996,24.5
Brazil,BRA,1997,27.65
Brazil,BRA,1998,29.18
Brazil,BRA,1999,30.8
Brazil,BRA,2000,30.4
Brazil,BRA,2001,29.38
Brazil,BRA,2002,34.84
Brazil,BRA,2003,39.48
Brazil,BRA,2004,44.44
Brazil,BRA,2005,36.9
Brazil,BRA,2006,38.71
Brazil,BRA,2007,50.85
Brazil,BRA,2008,46.16
Brazil,BRA,2009,39.59
Brazil,BRA,2010,50.14
Brazil,BRA,2011,61.74
Brazil,BRA,2012,55.57
Brazil,BRA,2013,65.13
Brazil,BRA,2014,72.22
Brazil,BRA,2015,55.6
Brazil,BRA,2016,57.42
Brazil,BRA,2017,71.74
Brazil,BRA,2018,72.33
Brazil,BRA,2019,77.33
Brazil,BRA,2020,93.06
Russia,RUS,1992,19.61
Russia,RUS,1993,15.62
Russia,RUS,1994,6.9
Russia,RUS,1995,7.73
Russia,RUS,1996,7.69
Russia,RUS,1997,7.34
Russia,RUS,1998,6.49
Russia,RUS,1999,7.56
Russia,RUS,2000,7.6
Russia,RUS,2001,8.67
Russia,RUS,2002,7.24
Russia,RUS,2003,6.8
Russia,RUS,2004,6.76
Russia,RUS,2005,6.99
Russia,RUS,2006,7.41
Russia,RUS,2007,8.46
Russia,RUS,2008,9.8
Russia,RUS,2009,10.02
Russia,RUS,2010,9.66
Russia,RUS,2011,10.23
Russia,RUS,2012,9.56
Russia,RUS,2013,9.45
Russia,RUS,2014,9.68
Russia,RUS,2015,10.23
Russia,RUS,2016,11.71
Russia,RUS,2017,12.26
Russia,RUS,2018,12.49
Russia,RUS,2019,13.99
Russia,RUS,2020,15.52
India,IND,1961,1.55
India,IND,1962,2.05
India,IND,1963,2.33
India,IND,1964,3.42
India,IND,1965,3.54
India,IND,1966,4.53
India,IND,1967,6.32
India,IND,1968,7.34
India,IND,1969,8.24
India,IND,1970,8.96
India,IND,1971,10.93
India,IND,1972,11.15
India,IND,1973,11.02
India,IND,1974,10.6
India,IND,1975,16.47
India,IND,1976,14.71
India,IND,1977,17.44
India,IND,1978,20.33
India,IND,1979,20.77
India,IND,1980,21.87
India,IND,1981,24.16
India,IND,1982,23.96
India,IND,1983,27.52
India,IND,1984,31.48
India,IND,1985,33.96
India,IND,1986,38.54
India,IND,1987,33.6
India,IND,1988,42.26
India,IND,1989,42.07
India,IND,1990,44.47
India,IND,1991,47.28
India,IND,1992,49.57
India,IND,1993,51.55
India,IND,1994,55.82
India,IND,1995,57.81
India,IND,1996,60.85
India,IND,1997,64.09
India,IND,1998,66.78
India,IND,1999,68.1
India,IND,2000,64.19
India,IND,2001,66.6
India,IND,2002,61.57
India,IND,2003,65.24
India,IND,2004,68.94
India,IND,2005,74.99
India,IND,2006,81.2
India,IND,2007,85.21
India,IND,2008,87.75
India,IND,2009,91.67
India,IND,2010,97.21
India,IND,2011,102.54
India,IND,2012,99.33
India,IND,2013,98.85
India,IND,2014,100.02
India,IND,2015,102.54
India,IND,2016,98.84
India,IND,2017,100.41
India,IND,2018,104.45
India,IND,2019,111.84
India,IND,2020,120.97
China,CHN,1961,5.21
China,CHN,1962,7.78
China,CHN,1963,9.37
China,CHN,1964,12.04
China,CHN,1965,17.68
China,CHN,1966,25.88
China,CHN,1967,19.05
China,CHN,1968,20.96
China,CHN,1969,25.83
China,CHN,1970,33.16
China,CHN,1971,33.28
China,CHN,1972,38.26
China,CHN,1973,44.3
China,CHN,1974,38.07
China,CHN,1975,50.54
China,CHN,1976,47.74
China,CHN,1977,71.09
China,CHN,1978,93.37
China,CHN,1979,107.11
China,CHN,1980,121.97
China,CHN,1981,115.28
China,CHN,1982,116.9
China,CHN,1983,123.84
China,CHN,1984,128.86
China,CHN,1985,110.71
China,CHN,1986,107.32
China,CHN,1987,132.11
China,CHN,1988,144.41
China,CHN,1989,145.38
China,CHN,1990,148.96
China,CHN,1991,150.86
China,CHN,1992,155.54
China,CHN,1993,138.49
China,CHN,1994,147.38
China,CHN,1995,182.93
China,CHN,1996,194.36
China,CHN,1997,176.48
China,CHN,1998,176
China,CHN,1999,185.65
China,CHN,2000,170.25
China,CHN,2001,171.65
China,CHN,2002,190.82
China,CHN,2003,191.15
China,CHN,2004,198.11
China,CHN,2005,200.26
China,CHN,2006,203.92
China,CHN,2007,208.51
China,CHN,2008,210.63
China,CHN,2009,213.92
China,CHN,2010,218.32
China,CHN,2011,222.8
China,CHN,2012,226.64
China,CHN,2013,227.88
China,CHN,2014,229.4
China,CHN,2015,228.12
China,CHN,2016,225.23
China,CHN,2017,219.04
China,CHN,2018,208.64
China,CHN,2019,198.23
China,CHN,2020,190.85
South Africa,ZAF,1961,4.47
South Africa,ZAF,1962,5.78
South Africa,ZAF,1963,6.91
South Africa,ZAF,1964,7.54
South Africa,ZAF,1965,7.94
South Africa,ZAF,1966,7.88
South Africa,ZAF,1967,10.52
South Africa,ZAF,1968,11.54
South Africa,ZAF,1969,12.01
South Africa,ZAF,1970,14.45
South Africa,ZAF,1971,16.65
South Africa,ZAF,1972,20.19
South Africa,ZAF,1973,18.43
South Africa,ZAF,1974,18.33
South Africa,ZAF,1975,22.71
South Africa,ZAF,1976,25.12
South Africa,ZAF,1977,27.25
South Africa,ZAF,1978,30.03
South Africa,ZAF,1979,31.7
South Africa,ZAF,1980,36.91
South Africa,ZAF,1981,41.8
South Africa,ZAF,1982,37.61
South Africa,ZAF,1983,29.07
South Africa,ZAF,1984,32.33
South Africa,ZAF,1985,29.95
South Africa,ZAF,1986,28.91
South Africa,ZAF,1987,25.54
South Africa,ZAF,1988,29.53
South Africa,ZAF,1989,28.86
South Africa,ZAF,1990,28.82
South Africa,ZAF,1991,27.12
South Africa,ZAF,1992,26.94
South Africa,ZAF,1993,29.97
South Africa,ZAF,1994,27.25
South Africa,ZAF,1995,27.93
South Africa,ZAF,1996,28.95
South Africa,ZAF,1997,28.84
South Africa,ZAF,1998,28.88
South Africa,ZAF,1999,29.23
South Africa,ZAF,2000,29.29
South Africa,ZAF,2001,27.9
South Africa,ZAF,2002,33.83
South Africa,ZAF,2003,30.06
South Africa,ZAF,2004,31.26
South Africa,ZAF,2005,25.62
South Africa,ZAF,2006,33.08
South Africa,ZAF,2007,33.91
South Africa,ZAF,2008,32.18
South Africa,ZAF,2009,31.7
South Africa,ZAF,2010,30.47
South Africa,ZAF,2011,33.67
South Africa,ZAF,2012,34.24
South Africa,ZAF,2013,32.55
South Africa,ZAF,2014,31.82
South Africa,ZAF,2015,28.76
South Africa,ZAF,2016,26.34
South Africa,ZAF,2017,37.86
South Africa,ZAF,2018,30.69
South Africa,ZAF,2019,30.69
South Africa,ZAF,2020,30.69
United States,USA,1961,16.19
United States,USA,1962,18.98
United States,USA,1963,21.06
United States,USA,1964,22.92
United States,USA,1965,25.86
United States,USA,1966,29.61
United States,USA,1967,33.63
United States,USA,1968,34.25
United States,USA,1969,34.64
United States,USA,1970,37.67
United States,USA,1971,38.5
United States,USA,1972,39.32
United States,USA,1973,42.63
United States,USA,1974,42.34
United States,USA,1975,47.3
United States,USA,1976,50.94
United States,USA,1977,49.06
United States,USA,1978,49.8
United States,USA,1979,53.2
United States,USA,1980,55.93
United States,USA,1981,53.75
United States,USA,1982,46.55
United States,USA,1983,49.92
United States,USA,1984,54.3
United States,USA,1985,51.51
United States,USA,1986,49.14
United States,USA,1987,50.3
United States,USA,1988,51.05
United States,USA,1989,52.74
United States,USA,1990,54.19
United States,USA,1991,55.05
United States,USA,1992,55.6
United States,USA,1993,59.99
United States,USA,1994,59.24
United States,USA,1995,59.66
United States,USA,1996,61.73
United States,USA,1997,62.09
United States,USA,1998,62.78
United States,USA,1999,63.03
United States,USA,2000,60.11
United States,USA,2001,60.37
United States,USA,2002,62.43
United States,USA,2003,68.13
United States,USA,2004,65.36
United States,USA,2005,64.66
United States,USA,2006,71.79
United States,USA,2007,69.28
United States,USA,2008,63.74
United States,USA,2009,68.6
United States,USA,2010,72.47
United States,USA,2011,76.9
United States,USA,2012,77.67
United States,USA,2013,76.21
United States,USA,2014,74.32
United States,USA,2015,74.24
United States,USA,2016,72.83
United States,USA,2017,72.19
United States,USA,2018,72.47
United States,USA,2019,72.75
United States,USA,2020,72.44
Japan,JPN,1961,105.39
Japan,JPN,1962,109.57
Japan,JPN,1963,114.17
Japan,JPN,1964,110.78
Japan,JPN,1965,115.01
Japan,JPN,1966,124.35
Japan,JPN,1967,130.67
Japan,JPN,1968,131.46
Japan,JPN,1969,128.62
Japan,JPN,1970,118.74
Japan,JPN,1971,117.75
Japan,JPN,1972,128.96
Japan,JPN,1973,145.42
Japan,JPN,1974,123.03
Japan,JPN,1975,117.17
Japan,JPN,1976,126.81
Japan,JPN,1977,129.83
Japan,JPN,1978,131.6
Japan,JPN,1979,141.94
Japan,JPN,1980,112.43
Japan,JPN,1981,118.16
Japan,JPN,1982,125.88
Japan,JPN,1983,129.55
Japan,JPN,1984,129.21
Japan,JPN,1985,126.42
Japan,JPN,1986,129.34
Japan,JPN,1987,125.28
Japan,JPN,1988,120.37
Japan,JPN,1989,121.42
Japan,JPN,1990,116.73
Japan,JPN,1991,110.68
Japan,JPN,1992,110.75
Japan,JPN,1993,117.1
Japan,JPN,1994,114.18
Japan,JPN,1995,104.7
Japan,JPN,1996,102.46
Japan,JPN,1997,100.06
Japan,JPN,1998,97.04
Japan,JPN,1999,98.54
Japan,JPN,2000,100.91
Japan,JPN,2001,100.98
Japan,JPN,2002,99.35
Japan,JPN,2003,104.22
Japan,JPN,2004,100.68
Japan,JPN,2005,100.38
Japan,JPN,2006,97.1
Japan,JPN,2007,102.97
Japan,JPN,2008,77.77
Japan,JPN,2009,75.93
Japan,JPN,2010,89.14
Japan,JPN,2011,84.85
Japan,JPN,2012,87.18
Japan,JPN,2013,80.87
Japan,JPN,2014,87.61
Japan,JPN,2015,79.87
Japan,JPN,2016,85.04
Japan,JPN,2017,86.75
Japan,JPN,2018,83.57
Japan,JPN,2019,84.01
Japan,JPN,2020,84.49
Germany,DEU,1961,68.92
Germany,DEU,1962,81.24
Germany,DEU,1963,81.77
Germany,DEU,1964,88.7
Germany,DEU,1965,101.83
Germany,DEU,1966,104.54
Germany,DEU,1967,107.31
Germany,DEU,1968,115.42
Germany,DEU,1969,125.97
Germany,DEU,1970,132.52
Germany,DEU,1971,137.68
Germany,DEU,1972,148.42
Germany,DEU,1973,141.93
Germany,DEU,1974,150.03
Germany,DEU,1975,152.37
Germany,DEU,1976,165.4
Germany,DEU,1977,166.84
Germany,DEU,1978,170.01
Germany,DEU,1979,177.18
Germany,DEU,1980,183.77
Germany,DEU,1981,165.85
Germany,DEU,1982,174.22
Germany,DEU,1983,166.41
Germany,DEU,1984,172.9
Germany,DEU,1985,183.94
Germany,DEU,1986,184.16
Germany,DEU,1987,191.71
Germany,DEU,1988,194.75
Germany,DEU,1989,181.83
Germany,DEU,1990,143.97
Germany,DEU,1991,145.68
Germany,DEU,1992,143.49
Germany,DEU,1993,135.36
Germany,DEU,1994,148.5
Germany,DEU,1995,146.75
Germany,DEU,1996,145.72
Germany,DEU,1997,148.29
Germany,DEU,1998,157.18
Germany,DEU,1999,167.3
Germany,DEU,2000,153.7
Germany,DEU,2001,149.09
Germany,DEU,2002,149.02
Germany,DEU,2003,151.9
Germany,DEU,2004,146.98
Germany,DEU,2005,147.5
Germany,DEU,2006,132.61
Germany,DEU,2007,149.66
Germany,DEU,2008,127.81
Germany,DEU,2009,129.19
Germany,DEU,2010,148.32
Germany,DEU,2011,135.85
Germany,DEU,2012,137.01
Germany,DEU,2013,138.73
Germany,DEU,2014,150.99
Germany,DEU,2015,141.95
Germany,DEU,2016,138.66
Germany,DEU,2017,125.02
Germany,DEU,2018,112.51
Germany,DEU,2019,115.18
Germany,DEU,2020,106.68
United Kingdom,GBR,1961,68.05
United Kingdom,GBR,1962,73.61
United Kingdom,GBR,1963,78.88
United Kingdom,GBR,1964,79.81
United Kingdom,GBR,1965,92.6
United Kingdom,GBR,1966,102.23
United Kingdom,GBR,1967,122.55
United Kingdom,GBR,1968,115.86
United Kingdom,GBR,1969,95.07
United Kingdom,GBR,1970,111.24
United Kingdom,GBR,1971,128.72
United Kingdom,GBR,1972,109.31
United Kingdom,GBR,1973,122.05
United Kingdom,GBR,1974,129.58
United Kingdom,GBR,1975,150.27
United Kingdom,GBR,1976,159.14
United Kingdom,GBR,1977,168.14
United Kingdom,GBR,1978,174.22
United Kingdom,GBR,1979,190.19
United Kingdom,GBR,1980,177.24
United Kingdom,GBR,1981,198.51
United Kingdom,GBR,1982,223.3
United Kingdom,GBR,1983,229.7
United Kingdom,GBR,1984,226.04
United Kingdom,GBR,1985,222.63
United Kingdom,GBR,1986,235.45
United Kingdom,GBR,1987,217.76
United Kingdom,GBR,1988,217.72
United Kingdom,GBR,1989,233.68
United Kingdom,GBR,1990,226.74
United Kingdom,GBR,1991,205.79
United Kingdom,GBR,1992,184.19
United Kingdom,GBR,1993,200.75
United Kingdom,GBR,1994,224.21
United Kingdom,GBR,1995,221.59
United Kingdom,GBR,1996,235.78
United Kingdom,GBR,1997,212.14
United Kingdom,GBR,1998,203.93
United Kingdom,GBR,1999,212.47
United Kingdom,GBR,2000,188.09
United Kingdom,GBR,2001,209.93
United Kingdom,GBR,2002,205.11
United Kingdom,GBR,2003,198.14
United Kingdom,GBR,2004,191.72
United Kingdom,GBR,2005,183.69
United Kingdom,GBR,2006,163.38
United Kingdom,GBR,2007,164.41
United Kingdom,GBR,2008,165.43
United Kingdom,GBR,2009,155.61
United Kingdom,GBR,2010,168.88
United Kingdom,GBR,2011,167.35
United Kingdom,GBR,2012,159.8
United Kingdom,GBR,2013,158.31
United Kingdom,GBR,2014,168.84
United Kingdom,GBR,2015,173.1
United Kingdom,GBR,2016,168.95
United Kingdom,GBR,2017,169.8
United Kingdom,GBR,2018,169.79
United Kingdom,GBR,2019,169.29
United Kingdom,GBR,2020,160.54
France,FRA,1961,29.18
France,FRA,1962,32.03
France,FRA,1963,37.22
France,FRA,1964,41.31
France,FRA,1965,42.38
France,FRA,1966,48.98
France,FRA,1967,57.18
France,FRA,1968,64.4
France,FRA,1969,64.44
France,FRA,1970,76.09
France,FRA,1971,81.59
France,FRA,1972,85.23
France,FRA,1973,98.02
France,FRA,1974,82.32
France,FRA,1975,90.1
France,FRA,1976,96.87
France,FRA,1977,97.24
France,FRA,1978,104.24
France,FRA,1979,112.82
France,FRA,1980,113.74
France,FRA,1981,115.93
France,FRA,1982,115.44
France,FRA,1983,121.93
France,FRA,1984,122.07
France,FRA,1985,125.14
France,FRA,1986,133.06
France,FRA,1987,131.41
France,FRA,1988,136.74
France,FRA,1989,140.53
France,FRA,1990,131.2
France,FRA,1991,134.95
France,FRA,1992,113.06
France,FRA,1993,115.55
France,FRA,1994,119.7
France,FRA,1995,123.62
France,FRA,1996,130.31
France,FRA,1997,129.4
France,FRA,1998,127.84
France,FRA,1999,131.89
France,FRA,2000,118.81
France,FRA,2001,123.05
France,FRA,2002,112.99
France,FRA,2003,122
France,FRA,2004,119.31
France,FRA,2005,113.15
France,FRA,2006,113.43
France,FRA,2007,124.08
France,FRA,2008,108.64
France,FRA,2009,98.57
France,FRA,2010,105.79
France,FRA,2011,100.84
France,FRA,2012,105
France,FRA,2013,112.34
France,FRA,2014,111.73
France,FRA,2015,115.07
France,FRA,2016,113.28
France,FRA,2017,120.61
France,FRA,2018,114.21
France,FRA,2019,106.15
France,FRA,2020,109.52
Italy,ITA,1961,22.28
Italy,ITA,1962,24.18
Italy,ITA,1963,24.33
Italy,ITA,1964,26.26
Italy,ITA,1965,30.18
Italy,ITA,1966,31.15
Italy,ITA,1967,31.53
Italy,ITA,1968,33.8
Italy,ITA,1969,36.69
Italy,ITA,1970,39.82
Italy,ITA,1971,50.36
Italy,ITA,1972,56.22
Italy,ITA,1973,54.95
Italy,ITA,1974,54.7
Italy,ITA,1975,58.83
Italy,ITA,1976,56.64
Italy,ITA,1977,66.26
Italy,ITA,1978,83.94
Italy,ITA,1979,88.93
Italy,ITA,1980,80.9
Italy,ITA,1981,79.52
Italy,ITA,1982,77.96
Italy,ITA,1983,81.2
Italy,ITA,1984,83.9
Italy,ITA,1985,87.05
Italy,ITA,1986,83.54
Italy,ITA,1987,86.71
Italy,ITA,1988,77.12
Italy,ITA,1989,69.13
Italy,ITA,1990,73.42
Italy,ITA,1991,76.52
Italy,ITA,1992,78.25
Italy,ITA,1993,80.66
Italy,ITA,1994,78.9
Italy,ITA,1995,80.07
Italy,ITA,1996,79.59
Italy,ITA,1997,77.91
Italy,ITA,1998,75.87
Italy,ITA,1999,75.99
Italy,ITA,2000,73.38
Italy,ITA,2001,69.42
Italy,ITA,2002,77.57
Italy,ITA,2003,80.35
Italy,ITA,2004,82.29
Italy,ITA,2005,77.48
Italy,ITA,2006,80.52
Italy,ITA,2007,83.74
Italy,ITA,2008,66.75
Italy,ITA,2009,53.82
Italy,ITA,2010,51.78
Italy,ITA,2011,55.9
Italy,ITA,2012,61.82
Italy,ITA,2013,66.09
Italy,ITA,2014,62.93
Italy,ITA,2015,66.89
Italy,ITA,2016,65.88
Italy,ITA,2017,65.01
Italy,ITA,2018,64.93
Italy,ITA,2019,64.16
Italy,ITA,2020,62.04
Canada,CAN,1961,2.68
Canada,CAN,1962,3.3
Canada,CAN,1963,4.02
Canada,CAN,1964,4.53
Canada,CAN,1965,5.74
Canada,CAN,1966,7.22
Canada,CAN,1967,8.36
Canada,CAN,1968,6.3
Canada,CAN,1969,7.01
Canada,CAN,1970,7.56
Canada,CAN,1971,9.06
Canada,CAN,1972,10.57
Canada,CAN,1973,13.18
Canada,CAN,1974,13.61
Canada,CAN,1975,14.38
Canada,CAN,1976,15.26
Canada,CAN,1977,19.1
Canada,CAN,1978,20.95
Canada,CAN,1979,20.72
Canada,CAN,1980,23.22
Canada,CAN,1981,23.75
Canada,CAN,1982,26.18
Canada,CAN,1983,30.55
Canada,CAN,1984,32.43
Canada,CAN,1985,29.54
Canada,CAN,1986,27.46
Canada,CAN,1987,28.41
Canada,CAN,1988,27.9
Canada,CAN,1989,28.83
Canada,CAN,1990,27.91
Canada,CAN,1991,30.25
Canada,CAN,1992,31.84
Canada,CAN,1993,34
Canada,CAN,1994,35.25
Canada,CAN,1995,38.19
Canada,CAN,1996,40.52
Canada,CAN,1997,40.11
Canada,CAN,1998,39.48
Canada,CAN,1999,40.87
Canada,CAN,2000,38.03
Canada,CAN,2001,37.49
Canada,CAN,2002,40.29
Canada,CAN,2003,40.79
Canada,CAN,2004,38.38
Canada,CAN,2005,44.66
Canada,CAN,2006,34.78
Canada,CAN,2007,52.96
Canada,CAN,2008,49.39
Canada,CAN,2009,50.04
Canada,CAN,2010,54.17
Canada,CAN,2011,66.48
Canada,CAN,2012,73.92
Canada,CAN,2013,64.83
Canada,CAN,2014,66.55
Canada,CAN,2015,67.11
Canada,CAN,2016,63.58
Canada,CAN,2017,63.88
Canada,CAN,2018,71.26
Canada,CAN,2019,64.92
Canada,CAN,2020,80.28