Entity,Code,Year,Pesticide.use,Fertilizer.use
Brazil,BRA,1990,49695,14.11
Brazil,BRA,1991,58349.44,15.05
Brazil,BRA,1992,67003.89,15.6
Brazil,BRA,1993,75658.33,20.62
Brazil,BRA,1994,84312.78,23.76
Brazil,BRA,1995,92967.22,22.75
Brazil,BRA,1996,101621.67,24.5
Brazil,BRA,1997,110276.11,27.65
Brazil,BRA,1998,118930.56,29.18
Brazil,BRA,1999,127585,30.8
Brazil,BRA,2000,140423,30.4
Brazil,BRA,2001,151523,29.38
Brazil,BRA,2002,145552,34.84
Brazil,BRA,2003,182446,39.48
Brazil,BRA,2004,214725,44.44
Brazil,BRA,2005,232232,36.9
Brazil,BRA,2006,238716,38.71
Brazil,BRA,2007,304031,50.85
Brazil,BRA,2008,312637,46.16
Brazil,BRA,2009,335742,39.59
Brazil,BRA,2010,342580,50.14
Brazil,BRA,2011,345026,61.74
Brazil,BRA,2012,346583,55.57
Brazil,BRA,2013,367778,65.13
Brazil,BRA,2014,352336,72.22
Brazil,BRA,2015,395646,55.6
Brazil,BRA,2016,377176,57.42
Brazil,BRA,2017,377176,71.74
Brazil,BRA,2018,377176,72.33
Brazil,BRA,2019,377176,77.33
Brazil,BRA,2020,377176,93.06
Russia,RUS,1992,25961,19.61
Russia,RUS,1993,25961,15.62
Russia,RUS,1994,25961,6.9
Russia,RUS,1995,25961,7.73
Russia,RUS,1996,25961,7.69
Russia,RUS,1997,25961,7.34
Russia,RUS,1998,27372.06,6.49
Russia,RUS,1999,28783.11,7.56
Russia,RUS,2000,30194.17,7.6
Russia,RUS,2001,31605.23,8.67
Russia,RUS,2002,33016.29,7.24
Russia,RUS,2003,34427.34,6.8
Russia,RUS,2004,35838.4,6.76
Russia,RUS,2005,37249.46,6.99
Russia,RUS,2006,38660.51,7.41
Russia,RUS,2007,40071.57,8.46
Russia,RUS,2008,41482.63,9.8
Russia,RUS,2009,42893.69,10.02
Russia,RUS,2010,44304.74,9.66
Russia,RUS,2011,45715.8,10.23
Russia,RUS,2012,47126.86,9.56
Russia,RUS,2013,48537.91,9.45
Russia,RUS,2014,49948.97,9.68
Russia,RUS,2015,51360.03,10.23
Russia,RUS,2016,71057,11.71
Russia,RUS,2017,79522.64,12.26
Russia,RUS,2018,74671.56,12.49
Russia,RUS,2019,77306.76,13.99
Russia,RUS,2020,90534.96,15.52
India,IND,1990,75000,44.47
India,IND,1991,72133,47.28
India,IND,1992,70791,49.57
India,IND,1993,66388,51.55
India,IND,1994,61357,55.82
India,IND,1995,61257,57.81
India,IND,1996,56114,60.85
India,IND,1997,52279,64.09
India,IND,1998,49157,66.78
India,IND,1999,46195,68.1
India,IND,2000,44957.52,64.19
India,IND,2001,43720.04,66.6
India,IND,2002,42482.56,61.57
India,IND,2003,41245.08,65.24
India,IND,2004,35113,68.94
India,IND,2005,35342,74.99
India,IND,2006,37423,81.2
India,IND,2007,27422.77,85.21
India,IND,2008,14485.33,87.75
India,IND,2009,28707.01,91.67
India,IND,2010,40093.69,97.21
India,IND,2011,55540,102.54
India,IND,2012,52980,99.33
India,IND,2013,45620,98.85
India,IND,2014,56267.67,100.02
India,IND,2015,56720.12,102.54
India,IND,2016,58634.43,98.84
India,IND,2017,63405.78,100.41
India,IND,2018,59669.93,104.45
India,IND,2019,61701.9,111.84
India,IND,2020,61701.9,120.97
China,CHN,1990,144459.52,148.96
China,CHN,1991,144459.52,150.86
China,CHN,1992,150858.55,155.54
China,CHN,1993,159466.1,138.49
China,CHN,1994,184722.44,147.38
China,CHN,1995,205184.23,182.93
China,CHN,1996,215339.62,194.36
China,CHN,1997,225664.9,176.48
China,CHN,1998,232498.1,176
China,CHN,1999,249467.8,185.65
China,CHN,2000,241520.9,170.25
China,CHN,2001,240633.73,171.65
China,CHN,2002,247523.55,190.82
China,CHN,2003,250147.33,191.15
China,CHN,2004,261624.06,198.11
China,CHN,2005,275573.56,200.26
China,CHN,2006,290146,203.92
China,CHN,2007,306322.88,208.51
China,CHN,2008,315666.6,210.63
China,CHN,2009,322594.16,213.92
China,CHN,2010,331881.25,218.32
China,CHN,2011,337317.6,222.8
China,CHN,2012,340922.94,226.64
China,CHN,2013,341224.97,227.88
China,CHN,2014,340394.4,229.4
China,CHN,2015,336562.56,228.12
China,CHN,2016,328540.16,225.23
China,CHN,2017,312419.9,219.04
China,CHN,2018,283822.47,208.64
China,CHN,2019,262700,198.23
China,CHN,2020,262700,190.85
South Africa,ZAF,1990,16582,28.82
South Africa,ZAF,1991,16582,27.12
South Africa,ZAF,1992,16582,26.94
South Africa,ZAF,1993,16582,29.97
South Africa,ZAF,1994,16582,27.25
South Africa,ZAF,1995,18025,27.93
South Africa,ZAF,1996,19508,28.95
South Africa,ZAF,1997,21596,28.84
South Africa,ZAF,1998,24304,28.88
South Africa,ZAF,1999,26098.8,29.23
South Africa,ZAF,2000,26857,29.29
South Africa,ZAF,2001,26857,27.9
South Africa,ZAF,2002,26857,33.83
South Africa,ZAF,2003,26857,30.06
South Africa,ZAF,2004,26857,31.26
South Africa,ZAF,2005,26857,25.62
South Africa,ZAF,2006,26857,33.08
South Africa,ZAF,2007,26857,33.91
South Africa,ZAF,2008,26857,32.18
South Africa,ZAF,2009,26857,31.7
South Africa,ZAF,2010,26857,30.47
South Africa,ZAF,2011,26857,33.67
South Africa,ZAF,2012,26857,34.24
South Africa,ZAF,2013,26857,32.55
South Africa,ZAF,2014,26857,31.82
South Africa,ZAF,2015,26857,28.76
South Africa,ZAF,2016,26857,26.34
South Africa,ZAF,2017,26857,37.86
South Africa,ZAF,2018,26857,30.69
South Africa,ZAF,2019,26857,30.69
South Africa,ZAF,2020,26857,30.69
United States,USA,1990,400975.94,54.19
United States,USA,1991,384646.38,55.05
United States,USA,1992,400975.9,55.6
United States,USA,1993,391903.88,59.99
United States,USA,1994,425922.7,59.24
United States,USA,1995,423201.53,59.66
United States,USA,1996,433180.38,61.73
United States,USA,1997,434540.75,62.09
United States,USA,1998,424562.12,62.78
United States,USA,1999,433633.97,63.03
United States,USA,2000,430005.22,60.11
United States,USA,2001,411407.94,60.37
United States,USA,2002,416851.03,62.43
United States,USA,2003,417758.25,68.13
United States,USA,2004,425015.72,65.36
United States,USA,2005,388275.16,64.66
United States,USA,2006,392810.66,71.79
United States,USA,2007,400068.16,69.28
United States,USA,2008,379202.9,63.74
United States,USA,2009,358337.7,68.6
United States,USA,2010,374818.2,72.47
United States,USA,2011,391298.7,76.9
United States,USA,2012,407779.2,77.67
United States,USA,2013,407779.2,76.21
United States,USA,2014,407779.2,74.32
United States,USA,2015,407779.2,74.24
United States,USA,2016,407779.2,72.83
United States,USA,2017,407779.2,72.19
United States,USA,2018,407779.2,72.47
United States,USA,2019,407779.2,72.75
United States,USA,2020,407779.2,72.44
Japan,JPN,1990,79821.18,116.73
Japan,JPN,1991,79821.18,110.68
Japan,JPN,1992,79821.18,110.75
Japan,JPN,1993,79821.18,117.1
Japan,JPN,1994,79821.18,114.18
Japan,JPN,1995,79821.18,104.7
Japan,JPN,1996,79821.18,102.46
Japan,JPN,1997,79821.18,100.06
Japan,JPN,1998,79821.18,97.04
Japan,JPN,1999,79821.18,98.54
Japan,JPN,2000,79821.18,100.91
Japan,JPN,2001,78735.45,100.98
Japan,JPN,2002,70262.54,99.35
Japan,JPN,2003,67869.72,104.22
Japan,JPN,2004,64688.88,100.68
Japan,JPN,2005,63829.77,100.38
Japan,JPN,2006,65248.26,97.1
Japan,JPN,2007,61164.07,102.97
Japan,JPN,2008,58750,77.77
Japan,JPN,2009,60970.8,75.93
Japan,JPN,2010,55576,89.14
Japan,JPN,2011,51796.3,84.85
Japan,JPN,2012,54716.4,87.18
Japan,JPN,2013,52794.3,80.87
Japan,JPN,2014,53543.7,87.61
Japan,JPN,2015,54171.16,79.87
Japan,JPN,2016,51006,85.04
Japan,JPN,2017,52248,86.75
Japan,JPN,2018,52332,83.57
Japan,JPN,2019,51970,84.01
Japan,JPN,2020,51970,84.49
Germany,DEU,1990,31289,143.97
Germany,DEU,1991,32006,145.68
Germany,DEU,1992,29542,143.49
Germany,DEU,1993,25170,135.36
Germany,DEU,1994,26330,148.5
Germany,DEU,1995,30090,146.75
Germany,DEU,1996,31683,145.72
Germany,DEU,1997,30414,148.29
Germany,DEU,1998,33377,157.18
Germany,DEU,1999,30019,167.3
Germany,DEU,2000,35273.17,153.7
Germany,DEU,2001,33423.49,149.09
Germany,DEU,2002,34431.72,149.02
Germany,DEU,2003,35539.26,151.9
Germany,DEU,2004,34930.37,146.98
Germany,DEU,2005,36386.27,147.5
Germany,DEU,2006,38540.15,132.61
Germany,DEU,2007,40740.64,149.66
Germany,DEU,2008,43413.01,127.81
Germany,DEU,2009,39289.43,129.19
Germany,DEU,2010,40832.42,148.32
Germany,DEU,2011,43754.35,135.85
Germany,DEU,2012,45522.5,137.01
Germany,DEU,2013,43756.1,138.73
Germany,DEU,2014,45836.29,150.99
Germany,DEU,2015,48131.97,141.95
Germany,DEU,2016,46921,138.66
Germany,DEU,2017,48347,125.02
Germany,DEU,2018,44986,112.51
Germany,DEU,2019,45238,115.18
Germany,DEU,2020,48002,106.68
United Kingdom,GBR,1990,29517,226.74
United Kingdom,GBR,1991,29022,205.79
United Kingdom,GBR,1992,31077,184.19
United Kingdom,GBR,1993,32387,200.75
United Kingdom,GBR,1994,33929,224.21
United Kingdom,GBR,1995,33743,221.59
United Kingdom,GBR,1996,35579,235.78
United Kingdom,GBR,1997,35490,212.14
United Kingdom,GBR,1998,35422,203.93
United Kingdom,GBR,1999,35537,212.47
United Kingdom,GBR,2000,33031.28,188.09
United Kingdom,GBR,2001,32893.1,209.93
United Kingdom,GBR,2002,30995.26,205.11
United Kingdom,GBR,2003,30754.4,198.14
United Kingdom,GBR,2004,31223.91,191.72
United Kingdom,GBR,2005,31415.27,183.69
United Kingdom,GBR,2006,22588.09,163.38
United Kingdom,GBR,2007,22331.7,164.41
United Kingdom,GBR,2008,21596.68,165.43
United Kingdom,GBR,2009,21324.22,155.61
United Kingdom,GBR,2010,16770.87,168.88
United Kingdom,GBR,2011,16401.66,167.35
United Kingdom,GBR,2012,17718.64,159.8
United Kingdom,GBR,2013,17673.46,158.31
United Kingdom,GBR,2014,18392.45,168.84
United Kingdom,GBR,2015,18475.05,173.1
United Kingdom,GBR,2016,19298,168.95
United Kingdom,GBR,2017,19116,169.8
United Kingdom,GBR,2018,19300,169.79
United Kingdom,GBR,2019,19372.58,169.29
United Kingdom,GBR,2020,14923.34,160.54
France,FRA,1990,97701,131.2
France,FRA,1991,103434,134.95
France,FRA,1992,85249,113.06
France,FRA,1993,91953,115.55
France,FRA,1994,89515,119.7
France,FRA,1995,84011,123.62
France,FRA,1996,97890,130.31
France,FRA,1997,109792,129.4
France,FRA,1998,107753,127.84
France,FRA,1999,114695,131.89
France,FRA,2000,97878,118.81
France,FRA,2001,99694,123.05
France,FRA,2002,82448,112.99
France,FRA,2003,74531,122
France,FRA,2004,76099,119.31
France,FRA,2005,78265,113.15
France,FRA,2006,71612,113.43
France,FRA,2007,77255,124.08
France,FRA,2008,78577,108.64
France,FRA,2009,63676,98.57
France,FRA,2010,61903,105.79
France,FRA,2011,61351.89,100.84
France,FRA,2012,63844.29,105
France,FRA,2013,66676.69,112.34
France,FRA,2014,75339.2,111.73
France,FRA,2015,66896.92,115.07
France,FRA,2016,72064.82,113.28
France,FRA,2017,70603.5,120.61
France,FRA,2018,85072.22,114.21
France,FRA,2019,54380.6,106.15
France,FRA,2020,65216.43,109.52
Italy,ITA,1990,100596.4,73.42
Italy,ITA,1991,88916.6,76.52
Italy,ITA,1992,88227.6,78.25
Italy,ITA,1993,89282.2,80.66
Italy,ITA,1994,81217.6,78.9
Italy,ITA,1995,84153,80.07
Italy,ITA,1996,74617.2,79.59
Italy,ITA,1997,84799,77.91
Italy,ITA,1998,84117,75.87
Italy,ITA,1999,81583,75.99
Italy,ITA,2000,79447,73.38
Italy,ITA,2001,75978,69.42
Italy,ITA,2002,94211,77.57
Italy,ITA,2003,86058,80.35
Italy,ITA,2004,83810,82.29
Italy,ITA,2005,84647,77.48
Italy,ITA,2006,74349,80.52
Italy,ITA,2007,80454,83.74
Italy,ITA,2008,79643,66.75
Italy,ITA,2009,74172,53.82
Italy,ITA,2010,71613,51.78
Italy,ITA,2011,70690,55.9
Italy,ITA,2012,61889,61.82
Italy,ITA,2013,55633,66.09
Italy,ITA,2014,59422,62.93
Italy,ITA,2015,63322,66.89
Italy,ITA,2016,60259,65.88
Italy,ITA,2017,56641,65.01
Italy,ITA,2018,54153,64.93
Italy,ITA,2019,48567,64.16
Italy,ITA,2020,56556,62.04
Canada,CAN,1990,29568,27.91
Canada,CAN,1991,29477.5,30.25
Canada,CAN,1992,29387,31.84
Canada,CAN,1993,29296.5,34
Canada,CAN,1994,29206,35.25
Canada,CAN,1995,32234.97,38.19
Canada,CAN,1996,35263.94,40.52
Canada,CAN,1997,38292.91,40.11
Canada,CAN,1998,41321.89,39.48
Canada,CAN,1999,44350.86,40.87
Canada,CAN,2000,39718.43,38.03
Canada,CAN,2001,38501,37.49
Canada,CAN,2002,34264.57,40.29
Canada,CAN,2003,35628.14,40.79
Canada,CAN,2004,36163.71,38.38
Canada,CAN,2005,36382.29,44.66
Canada,CAN,2006,36585.61,34.78
Canada,CAN,2007,45146.45,52.96
Canada,CAN,2008,53707.3,49.39
Canada,CAN,2009,54529.4,50.04
Canada,CAN,2010,61050,54.17
Canada,CAN,2011,62107.2,66.48
Canada,CAN,2012,73508.9,73.92
Canada,CAN,2013,81659.8,64.83
Canada,CAN,2014,76314,66.55
Canada,CAN,2015,75318.3,67.11
Canada,CAN,2016,90926,63.58
Canada,CAN,2017,98304,63.88
Canada,CAN,2018,87632,71.26
Canada,CAN,2019,78893,64.92
Canada,CAN,2020,78893,80.28